X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010
0.091400037,0.088266279,0.085556892,0.083235458,0.081291558,0.079547446,0.078030201,0.076774282,0.075407184,0.073853095,0.075736247,0.070556578,0.0685699,0.066448383,0.064403577,0.062154359,0.059672019,0.056786033,0.053932574,0.050894301,0.047778663,0.044902929,0.042426609,0.040529639,0.038680772,0.037507472,0.035699837,0.033812319,0.031956592,0.035605379,0.033140202,0.027516366,0.025899457,0.025452064,0.024582819,0.023205765,0.022159321,0.021159886,0.019906817,0.018492634,0.017266863,0.01661577,0.015967192,0.015345157,0.014505081,0.013714528,0.013111223,0.012761308,0.01262379,0.012408726,0.012076391
0.025797491,0.024322203,0.023111187,0.021815011,0.020676372,0.019546068,0.018386026,0.017565934,0.01695208,0.016415916,0.017714119,0.014816161,0.013499828,0.012108083,0.011556568,0.010812593,0.010261739,0.009353516,0.008297271,0.007706066,0.006897686,0.006357874,0.00595562,0.005542971,0.005049977,0.004686941,0.004438552,0.004198726,0.003960346,0.004325508,0.004499116,0.002974921,0.002531613,0.00242848,0.00232237,0.002074651,0.001847504,0.001618356,0.001407965,0.001237428,0.001104863,0.001097261,0.001074136,0.001046953,0.001017797,0.000928912,0.000863077,0.000845496,0.000821992,0.000799698,0.000778771
0.013180954,0.012464672,0.011855889,0.011258067,0.010691367,0.010113447,0.009538572,0.009128543,0.008839841,0.008602269,0.009141652,0.007786036,0.007049812,0.006282765,0.005854224,0.005425421,0.005120295,0.00469664,0.004195875,0.003827181,0.003424452,0.003137754,0.002904553,0.002706875,0.002486594,0.00233275,0.002218673,0.002114957,0.002030056,0.002157347,0.00218096,0.001557512,0.001324043,0.001242157,0.001185336,0.001084892,0.000990382,0.000893748,0.000798018,0.000715139,0.000649699,0.000640015,0.000632269,0.000624867,0.000617487,0.000581738,0.000551512,0.000542303,0.000531861,0.000521575,0.000511788
0.008096876,0.007701543,0.007348961,0.007041026,0.006716458,0.006377776,0.00605296,0.005814267,0.005656411,0.005533414,0.005782877,0.005042189,0.004560062,0.004061175,0.003716189,0.003424088,0.003220016,0.002976117,0.002683407,0.002417329,0.002169306,0.001983089,0.001820652,0.00170232,0.001576114,0.001493295,0.001425299,0.001366962,0.001329271,0.001383122,0.001364391,0.001042219,0.00088922,0.000822533,0.000784024,0.000730382,0.000678986,0.000626699,0.000569958,0.00051735,0.000476351,0.000467209,0.000463575,0.000461272,0.000460475,0.000443364,0.000425196,0.000419265,0.000414465,0.000408365,0.000401782
0.005484772,0.005249613,0.005028662,0.004862685,0.004664438,0.00444921,0.004250129,0.004102047,0.004009273,0.003941234,0.004056577,0.00361971,0.003276626,0.002922665,0.002637005,0.002421102,0.002269943,0.002113256,0.001923564,0.001718511,0.001547993,0.001413972,0.001291304,0.001211534,0.001130252,0.001079696,0.001033186,0.000995546,0.000978493,0.001000526,0.000968028,0.000783271,0.000672165,0.000615019,0.000586165,0.000553823,0.000522294,0.000489616,0.000452418,0.000415263,0.000385092,0.000376537,0.000375242,0.00037498,0.000376413,0.000368029,0.000356738,0.000351824,0.000350017,0.000345599,0.000340759
0.00395727,0.003812545,0.003667165,0.00357756,0.003450952,0.003308279,0.003182472,0.003085656,0.003030688,0.002993727,0.003039025,0.002772026,0.002514238,0.002248161,0.002006227,0.001837998,0.001720571,0.00161309,0.001481538,0.001314689,0.001190942,0.001087506,0.000989914,0.000932686,0.000875166,0.000841752,0.000808178,0.000781313,0.000774325,0.000780375,0.000742648,0.000631638,0.000546212,0.000496473,0.000473095,0.000451667,0.000430922,0.000408894,0.00038253,0.000353675,0.000330834,0.000322747,0.00032128,0.000322313,0.000324717,0.000321316,0.000314435,0.000310332,0.000309827,0.000306912,0.000303104
0.002991708,0.002901442,0.002800263,0.002755516,0.002672074,0.002575893,0.002494539,0.002429027,0.0023971,0.002378674,0.002386034,0.00222263,0.002021715,0.001814295,0.00160609,0.001469849,0.001373553,0.001296115,0.001200306,0.001062353,0.000966825,0.000884678,0.000804104,0.000759876,0.000717092,0.00069302,0.000666779,0.000646957,0.000645006,0.000642291,0.000604412,0.000535879,0.000466105,0.000423672,0.000402989,0.000387581,0.000373132,0.000357482,0.000337631,0.00031485,0.000296419,0.000288049,0.000287259,0.00028903,0.000291722,0.000291091,0.000285595,0.000283219,0.000283632,0.000281284,0.000278254
0.002351344,0.002291518,0.002219096,0.002200866,0.002145568,0.002078587,0.002026088,0.001982525,0.001964888,0.001958942,0.001944432,0.001846188,0.001684784,0.00151992,0.00133779,0.00122382,0.001143761,0.001085591,0.001013925,0.000895711,0.000819635,0.00075212,0.000683961,0.000648738,0.000614243,0.000596299,0.000574428,0.000558917,0.000559234,0.000551105,0.000514286,0.000472153,0.000415013,0.000376143,0.000358112,0.000347024,0.000334794,0.000323536,0.000307402,0.000288681,0.000274003,0.00026594,0.000265078,0.000266728,0.00026925,0.000270725,0.000267066,0.000265129,0.000266372,0.000264987,0.00026173
0.001916287,0.001876316,0.001821243,0.001815576,0.001778143,0.001731139,0.001698457,0.001668792,0.001660917,0.001661111,0.001635352,0.001579946,0.001448293,0.001314065,0.001153728,0.001058368,0.000988043,0.000942654,0.000887451,0.000785452,0.000723133,0.000664783,0.00060593,0.000575166,0.000546074,0.00053078,0.000512071,0.00049987,0.000501609,0.000491823,0.000457746,0.000429659,0.000381087,0.000345519,0.000329169,0.000320637,0.00031074,0.000301564,0.00028881,0.000272926,0.000259809,0.000252186,0.000251806,0.000252609,0.000255976,0.000257341,0.000255789,0.000254731,0.00025639,0.000255798,0.000252626
0.001621523,0.001590073,0.001546141,0.00154699,0.001520849,0.001485028,0.00146575,0.001444774,0.001442507,0.001448419,0.001417873,0.001389223,0.001280677,0.001169729,0.001030487,0.000946112,0.000885238,0.000848672,0.000803482,0.000714681,0.000661175,0.000610672,0.000557259,0.000529649,0.00050235,0.000489776,0.000472742,0.000461754,0.000463929,0.000453527,0.000423237,0.000402593,0.000359539,0.000328827,0.000313927,0.000306084,0.000296756,0.000288892,0.000278083,0.000264613,0.0002526,0.000246658,0.000245949,0.000246429,0.000249017,0.000251324,0.00025063,0.000251666,0.000254186,0.000253955,0.00025062
